C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:49:39,,,,,,,,,,,
,,,,,,,,,,,
PN K,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,   radvel   ,  redshift  ,     cz     ,#not
88,PN K       ,PN K 3-36,PN ,19 32 39.557 +07 27 51.57,19 30 13.783 +07 21 22.19,044.320483 -05.660169,            ~ ~ ,~           ,~           ,~           ,0
89,PN K       ,PN K 3-37,PN ,19 33 46.75 +24 32 27.1,19 31 40.94 +24 25 52.6,059.43308 +02.33074,            ~ ~ ,~           ,~           ,~           ,0
90,PN K       ,PN K 3-38,PN ,19 35 18.354 +17 13 00.71,19 33 03.488 +17 06 20.34,053.199929 -01.533500,            ~ ~ ,~           ,~           ,~           ,0
91,PN K       ,PN K 3-39,PN ,19 35 54.469 +24 54 48.20,19 33 49.027 +24 48 05.12,059.993604 +02.088462,            ~ ~ ,~           ,~           ,~           ,0
92,PN K       ,PN K 3-40,PN ,19 36 21.81 +23 39 47.7,19 34 14.74 +23 33 02.8,058.95164 +01.38921,            ~ ~ ,~           ,~           ,~           ,0
93,PN K       ,PN K 3-41,PN ,19 39 15.86 +16 20 46.7,19 36 59.84 +16 13 50.6,052.90215 -02.78530,            ~ ~ ,~           ,~           ,~           ,0
94,PN K       ,PN K 3-42,PN ,19 39 35.785 +20 19 01.87,19 37 24.422 +20 12 04.26,056.401611 -00.903360,            ~ ~ ,~           ,~           ,~           ,0
95,PN K       ,PN K 3-43,PN ,19 40 25.908 +18 49 14.20,19 38 12.725 +18 42 13.33,055.195662 -01.811651,            ~ ~ ,~           ,~           ,~           ,0
96,PN K       ,V* FT Sge                          ,Mi*,19 40 54.3354180384 +18 44 48.151444920,19 38 41.0531942833 +18 37 45.679118947,055.1866525500839 -01.9456499666791,-2.325 -5.413,~           ,~           ,~           ,2
97,PN K       ,PN K 3-45,PN ,19 46 15.627 +24 11 03.67,19 44 08.667 +24 03 39.62,060.523629 -00.318338,            ~ ~ ,~           ,~           ,~           ,0
