C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:47:20,,,,,,,,,,,
,,,,,,,,,,,
PN M,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
65,PN M       ,PN M 1-65,PN ,18 56 33.6348962736 +10 52 09.588530604,18 54 12.2800220131 +10 48 10.189024978,043.1984411359839 +03.8101341878334,-2.701 -9.101,~          ,~           ,~          ,0
66,PN M       ,PN M 1-66,PN ,18 58 26.24 -01 03 45.6,18 55 51.22 -01 07 52.9,032.78377 -02.04180,            ~ ~ ,~          ,~           ,~          ,1
67,PN M       ,Hen 2-427,WR*,19 11 30.8749167768 +16 51 38.200938264,19 09 16.3527962263 +16 46 35.460254942,050.1980203939821 +03.3100128152785,-2.517 -5.671,190.00,0.000634,190.06,0
68,PN M       ,NGC 6765,PN ,19 11 06.5583234216 +30 32 43.674073296,19 09 10.3100708688 +30 27 41.901384578,062.4578400645047 +09.5572270586200,-0.555 -3.722,~          ,~           ,~          ,1
69,PN M       ,PN M 1-69,PN ,19 13 53.890 +03 37 41.78,19 11 24.086 +03 32 29.36,038.729694 -03.327887,            ~ ~ ,~          ,~           ,~          ,0
70,PN M       ,PN Vy 2-2,PN ,19 24 22.2390166933 +09 53 56.259102426,19 21 59.3710137737 +09 48 00.775334019,045.4980842298122 -02.7031914549173,-20.263 -6.921,~          ,~           ,~          ,0
71,PN M       ,PN M 1-71,PN ,19 36 26.9207484077 +19 42 24.018831075,19 34 14.9617955091 +19 35 38.982227711,055.5070319599885 -00.5579278597732,            ~ ~ ,~          ,~           ,~          ,1
72,PN M       ,PN M 1-72,PN ,19 41 33.9729642288 +17 45 17.525500164,19 39 19.4989575563 +17 38 12.435860917,054.4007989442726 -02.5715474423710,-1.236 -4.655,~          ,~           ,~          ,0
73,PN M       ,PN M 1-73,PN ,19 41 09.2937490896 +14 56 58.980006096,19 38 51.6205884050 +14 49 55.599537170,051.9067620339896 -03.8670298749594,-1.804 -4.224,~          ,~           ,~          ,1
74,PN M       ,PN M 1-74,PN ,19 42 18.78 +15 09 08.3,19 40 01.29 +15 02 00.1,052.22141 -04.01083,            ~ ~ ,~          ,~           ,~          ,0
75,PN M       ,PN M 1-75,PN ,20 04 44.1 +31 27 28,20 02 45.3 +31 18 53,068.8584 -00.0413,            ~ ~ ,~          ,~           ,~          ,1
76,PN M       ,Hen 2-461,LP?,20 16 26.4159222096 +37 06 05.974060536,20 14 34.4829670283 +36 56 47.637210282,074.9055395896519 +01.0193096321970,-3.020 -5.187,~          ,~           ,~          ,2
77,PN M       ,PN M 1-77,PN ,21 19 07.3684546776 +46 18 47.160663156,21 17 18.8041955709 +46 06 04.691908124,089.3839877457202 -02.2663551127708,-1.593 -2.527,~          ,~           ,~          ,0
78,PN M       ,IRAS 21190+5140,HII,21 20 44.8 +51 53 28,21 19 05.6 +51 40 40,093.5310 +01.4743,            ~ ~ ,~          ,~           ,~          ,2
79,PN M       ,PN M 1-79,PN ,21 37 01.500 +48 56 02.62,21 35 12.581 +48 42 31.64,093.377814 -02.454458,            ~ ~ ,~          ,~           ,~          ,0
80,PN M       ,PN M 1-80,PN ,22 56 19.89864 +57 09 20.8656,22 54 14.81304 +56 53 18.5430,107.78489944 -02.29165211,            ~ ~ ,~          ,~           ,~          ,2
81,PN M       ,Hen 2-437,PN ,19 32 57.6040534728 +26 52 43.087922580,19 30 54.9353651116 +26 46 12.144431075,061.3955630416021 +03.6185301337634,-2.690 -7.926,~          ,~           ,~          ,1
82,PN M       ,Min 1-92,pA*,19 36 18.9295687968 +29 32 49.785288144,19 34 19.7207126009 +29 26 05.076956322,064.0964395899990 +04.2565028914728,-2.046 -4.149,-7.086540,-0.000024,-7.09,0
83,PN M       ,PN M 2-1,*  ,03 52 16.7461686360 +60 58 08.905314360,03 48 01.7494342132 +60 49 11.419930682,143.1715985745099 +05.4180031746661,0.847 -5.674,~          ,~           ,~          ,0
84,PN M       ,PN M 2-2,PN ,04 13 15.0286446504 +56 56 58.407808596,04 09 10.1855356035 +56 49 20.368632714,147.8721469865155 +04.1952829475393,0.288 1.870,~          ,~           ,~          ,0
85,PN M       ,IC 2120,HII,05 18 09.4 +37 32 38,05 14 45.2 +37 29 29,169.6603 -00.0854,            ~ ~ ,~          ,~           ,~          ,2
86,PN M       ,PN M 2-4,PN ,17 01 06.2230175160 -34 49 38.610796908,16 57 47.6446646812 -34 45 16.581420031,349.8005995860884 +04.4660969035738,-4.375 -4.371,-186,-0.000620,-185.94,0
87,PN M       ,PN M 2-5,PN ,17 02 19.0885293528 -33 10 04.843181568,16 59 03.1480036685 -33 05 47.899206219,351.2748880206584 +05.2779326494342,-0.327 -7.216,-128,-0.000427,-127.97,0
88,PN M       ,PN M 2-6,PN ,17 04 18.32832 -30 53 28.8816,17 01 05.86586 -30 49 20.8393,353.35417489 +06.31780487,            ~ ~ ,-126,-0.000420,-125.97,0
89,PN M       ,PN M 2-7,PN ,17 05 13.91 -30 32 19.7,17 02 01.95 -30 28 15.6,353.75817 +06.36991,            ~ ~ ,-56,-0.000187,-55.99,0
90,PN M       ,PN M 2-8,PN ,17 05 30.70 -32 32 08.1,17 02 15.62 -32 28 05.1,352.18775 +05.12520,            ~ ~ ,26,0.000087,26.00,0
91,PN M       ,PN M 2-9,PN ,17 05 37.96152 -10 08 32.5068,17 02 52.61977 -10 04 31.1058,010.89935991 +18.05575993,            ~ ~ ,~          ,~           ,~          ,0
92,PN M       ,PN M 2-10,PN ,17 14 07.0266004296 -31 19 42.983628132,17 10 53.5048454703 -31 16 16.449839429,354.2474353428835 +04.3657372544420,-4.482 -4.966,-75,-0.000250,-74.99,0
93,PN M       ,PN M 2-11,PN ,17 20 33.27 -29 00 39.1,17 17 23.06 -28 57 40.6,356.95194 +04.55859,            ~ ~ ,51,0.000170,51.00,0
94,PN M       ,PN M 2-12,PN ,17 24 01.4751224640 -25 59 23.283283848,17 20 55.6066599607 -25 56 39.785685290,359.8941303347658 +05.6218781300296,-5.454 -1.701,76,0.000254,76.01,0
95,PN M       ,PN M 2-13,PN ,17 28 34.1923703839 -13 26 20.742891193,17 25 44.6330406304 -13 23 57.588805444,011.1391386142825 +11.5509135923951,            ~ ~ ,38,0.000127,38.00,0
96,PN M       ,PN M 2-14,PN ,17 41 57.2678295912 -24 11 16.203074712,17 38 53.6278901458 -24 09 50.508428246,003.6179625196545 +03.1846114655716,-7.827 -3.195,~          ,~           ,~          ,0
97,PN M       ,PN M 2-15,PN ,17 46 54.449 -16 17 24.80,17 44 01.191 -16 16 21.26,011.000153 +06.284216,            ~ ~ ,-33,-0.000110,-33.00,0
98,PN M       ,PN M 2-16,PN ,17 52 34.37 -32 45 51.4,17 49 17.63 -32 45 11.7,357.48245 -03.24780,            ~ ~ ,~          ,~           ,~          ,0
99,PN M       ,PN M 2-17,PN ,17 52 04.896 -17 36 05.23,17 49 09.941 -17 35 24.22,010.496391 +04.552508,            ~ ~ ,-46,-0.000153,-46.00,0
100,PN M       ,PN M 2-18,PN ,17 53 37.85 -32 58 47.8,17 50 20.74 -32 58 12.7,357.40853 -03.54850,            ~ ~ ,-54,-0.000180,-54.00,0
101,PN M       ,PN M 2-19,PN ,17 53 45.6485317560 -29 43 46.975373868,17 50 33.7430724429 -29 43 12.720081812,000.2305130587372 -01.9298855893528,-1.836 0.984,~          ,~           ,~          ,0
102,PN M       ,PN M 2-20,PN ,17 54 25.32 -29 36 08.2,17 51 13.60 -29 35 36.8,000.41319 -01.98938,            ~ ~ ,~          ,~           ,~          ,0
103,PN M       ,PN M 2-21,PN ,17 58 09.58 -29 44 20.1,17 54 57.63 -29 44 05.0,000.70250 -02.76028,            ~ ~ ,~          ,~           ,~          ,0
104,PN M       ,PN M 2-22,PN ,17 58 32.58 -33 28 36.8,17 55 14.62 -33 28 23.2,357.49116 -04.68664,            ~ ~ ,-94,-0.000314,-93.99,0
105,PN M       ,PN M 2-23,PN ,18 01 42.6413050824 -28 25 44.117293404,17 58 32.6854033359 -28 25 44.650422224,002.2265537330740 -02.7850805871868,            ~ ~ ,~          ,~           ,~          ,0
106,PN M       ,PN M 2-24,PN ,18 02 02.8945854456 -34 27 47.275175592,17 58 43.2594945208 -34 27 48.810847399,356.9857332298200 -05.8035578229802,-2.483 -2.276,137,0.000457,137.03,0
107,PN M       ,PN M 2-25,PN ,18 02 46.50 -32 09 29.0,17 59 30.71 -32 09 34.0,359.08207 -04.81384,            ~ ~ ,17,0.000057,17.00,0
108,PN M       ,PN M 2-26,PN ,18 03 11.92 -26 58 31.2,18 00 04.13 -26 58 38.3,003.65554 -02.35670,            ~ ~ ,~          ,~           ,~          ,1
109,PN M       ,PN M 2-27,PN ,18 03 52.5718384152 -31 17 47.161796424,18 00 38.1667726827 -31 17 57.000702921,359.9515715704939 -04.5987270391434,            ~ ~ ,164,0.000547,164.04,0
110,PN M       ,PN M 2-28,PN ,18 05 02.73 -30 58 18.0,18 01 48.84 -30 58 33.0,000.35831 -04.65978,            ~ ~ ,-29,-0.000097,-29.00,0
111,PN M       ,PN M 2-29,PN ,18 06 40.9055211600 -26 54 56.375768340,18 03 33.2096549366 -26 55 18.669993218,004.0871082379903 -03.0049746323704,-1.476 -1.283,~          ,~           ,~          ,0
112,PN M       ,PN M 2-30,PN ,18 12 34.40 -27 58 10.5,18 09 25.16 -27 58 58.6,003.78955 -04.65760,            ~ ~ ,115,0.000384,115.02,0
113,PN M       ,PN M 2-31,PN ,18 13 16.0521431976 -25 30 05.320920636,18 10 10.4274720576 -25 30 56.540610102,006.0404647140786 -03.6205395307150,            ~ ~ ,136,0.000454,136.03,0
114,PN M       ,PN M 2-32,PN ,18 14 50.6059044528 -32 36 55.158494076,18 11 34.1343539799 -32 37 52.518054551,359.8968577504772 -07.2721866579212,-3.215 -6.826,-74,-0.000247,-73.99,1
115,PN M       ,PN M 2-33,PN ,18 15 06.5634327720 -30 15 33.265211580,18 11 53.8525486963 -30 16 31.964778290,002.0229251233023 -06.2249374779586,-0.062 -6.026,-119,-0.000397,-118.98,0
116,PN M       ,PN M 2-34,PN ,18 17 15.90 -23 58 53.7,18 14 12.45 -24 00 02.5,007.81255 -03.69997,            ~ ~ ,79,0.000264,79.01,0
117,PN M       ,PN M 2-35,PN ,18 17 37.20 -31 56 46.8,18 14 21.84 -31 57 56.7,000.76853 -07.48352,            ~ ~ ,-30,-0.000100,-30.00,0
118,PN M       ,PN M 2-36,PN ,18 17 41.43 -29 08 19.9,18 14 30.47 -29 09 30.2,003.28281 -06.19880,            ~ ~ ,64,0.000214,64.01,0
119,PN M       ,PN M 2-37,PN ,18 18 38.501 -28 08 01.55,18 15 29.072 -28 09 16.09,004.275382 -05.916752,            ~ ~ ,75,0.000250,75.01,0
120,PN M       ,PN M 2-38,PN ,18 19 25.19 -26 35 20.2,18 16 18.05 -26 36 38.2,005.73049 -05.35160,            ~ ~ ,-76,-0.000253,-75.99,0
121,PN M       ,PN M 2-39,PN ,18 22 01.1620945464 -24 10 39.916889760,18 18 57.4878007012 -24 12 09.212078188,008.1477077755441 -04.7508435804596,-1.265 -3.573,83,0.000277,83.01,0
122,PN M       ,PN M 2-40,PN ,18 21 23.8579139424 -06 01 55.766823672,18 18 43.0290921421 -06 03 23.137531785,024.1226899843086 +03.8853371508655,-0.244 -4.754,90,0.000300,90.01,0
123,PN M       ,PN M 2-41,PN ,18 22 34.50 -30 43 31.0,18 19 21.15 -30 45 02.5,002.35217 -07.86716,            ~ ~ ,-22,-0.000073,-22.00,0
124,PN M       ,PN M 2-42,PN ,18 22 32.08 -24 09 27.7,18 19 28.43 -24 10 59.4,008.22025 -04.84566,            ~ ~ ,119,0.000397,119.02,0
125,PN M       ,PN M 2-43,PN ,18 26 40.0500205632 -02 42 57.364170912,18 24 03.1113944496 -02 44 47.643787893,027.6787620180716 +04.2604065708762,-3.320 -8.108,105,0.000350,105.02,0
126,PN M       ,PN M 2-44,PN ,18 37 36.9561946872 -03 05 57.027607908,18 34 59.5906816557 -03 08 34.809719839,028.5967048921186 +01.6567356497526,-4.186 -6.610,~          ,~           ,~          ,0
127,PN M       ,PN M 2-45,PN ,18 39 21.88 -04 19 51.0,18 36 43.08 -04 22 36.6,027.70181 +00.70446,            ~ ~ ,~          ,~           ,~          ,0
128,PN M       ,PN M 2-46,PN ,18 46 34.61 -08 28 02.1,18 43 51.04 -08 31 18.6,024.83915 -02.77827,            ~ ~ ,~          ,~           ,~          ,0
129,PN M       ,PN M 2-47,PN ,19 13 34.5440854320 +04 38 04.013922588,19 11 05.8675888039 +04 32 53.025876462,039.5863257194170 -02.7920392230726,-1.351 -2.677,~          ,~           ,~          ,0
130,PN M       ,PN M 2-48,PN ,19 50 28.52520 +25 54 29.5452,19 48 23.48643 +25 46 48.9863,062.49357502 -00.27000407,            ~ ~ ,~          ,~           ,~          ,0
131,PN M       ,PN M 2-49,PN ,21 43 17.60 +50 25 14.4,21 41 29.30 +50 11 27.6,095.12204 -02.00695,            ~ ~ ,~          ,~           ,~          ,0
